developer_id,username,repository_id,repository_name,total_commits,total_lines_added,total_lines_removed,total_lines_changed,total_files_changed,total_pull_requests,total_issues,total_reviews
36594527,mishmanners,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
36632821,tanishqchamola,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
37348419,W4nn4Die,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
38534289,RizkyRajitha,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
38664231,EricBrianAnil,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
39148877,vimode,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
39427067,Souptik2001,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
40049179,infysumanta,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
40193621,naman360,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
41161981,willtryagain,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
41908747,ronfybish,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
42106787,iamrajiv,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
43054051,tacoelho,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
43172716,sakshamtaneja21,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
43381712,vermakhushboo,2,appwrite,9,30888.0,14742.0,45630.0,7722.0,20,9,74
43746609,ebenezerdon,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
44156359,ravijyoti3,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
44623032,aerabi,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
44906587,minna-xD,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
45097959,ks129,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
45271396,fenix-hub,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
45748739,rskbansal,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
45863583,FluffyOMC,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
46695441,iifawzi,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
46913894,anoopmsivadas,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
47356149,24sharkS,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
47393058,Suven-p,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
47600057,pranjalg13,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
47822499,Vinatk,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
47860497,Rutam21,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
48085134,spielers,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
48546075,syshcndr,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
49375670,TricksterNerd,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
49818988,srivastavaayu,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
50047839,jakubhi,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
50256986,YMsyaraf,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
50957556,AshishMhrzn10,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
51240166,teeradon43,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
51369094,Glide7,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
51410502,megatank58,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
51821861,Priyanka788,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
52557347,prasanjit15,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
53281158,Sayanta66,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
53618500,rjn01,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
54898623,hack3r-0m,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
55633427,sakthi-goutham,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
56090587,mbos2,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
56179878,NidhxGupta,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
58045728,armino-dev,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
58487637,codingsamurai-10,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
60089135,munyoudoum,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
61755381,Nikhil-1503,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
62933155,2002Bishwajeet,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
66096031,rdmchr,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
66279068,choir241,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
66742927,honeykpatel,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
67964054,krishvsoni,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
69008866,KaranSinghBisht,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
69401139,arsheelsheikh,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
70762626,UtkarshAhuja2003,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
71667635,btme0011,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
71702982,varghesejose2020,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
73753957,gurjeetsinghvirdee,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
75117692,chuongtang,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
76054330,PrerakMathur20,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
77061285,ErfanBahramali,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
77877486,everly-gif,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
79051850,tusharxoxoxo,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
80036766,Shrey-Nahar,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
80918302,OscarRG,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
83803257,ArnabChatterjee20k,2,appwrite,14,81900.0,43950.0,125850.0,6900.0,10,10,11
86196556,DH-555,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
91268240,Dksie09,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
91310568,GuptaPratik02,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
91385411,Ln11211,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
100597998,MrKrishnaAgarwal,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
110609663,ChiragAgg5k,2,appwrite,36,514514910.0,82601610.0,597116520.0,2353260.0,34,26,99
111437670,ketanbaitule,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
118380435,navjotNSK,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
123562732,LauraDuRy,2,appwrite,1,3.0,0.0,3.0,3.0,1,1,3
124567525,jaivix,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
